occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
27-2011,Actors,0.1011,0.21875,0.1875,,62560.0,1.97,2.5175,4.25,3.51974802519748,0.7842223368516428,0.0,27,0,0.04119711011104141,1.0,,0.11765,0.0,0.0
27-2012,Producers and Directors,0.092,0.8453355155482816,0.6563011456628478,107170.0,154470.0,4.1175,1.913125,4.305833333333333,5.301725,0.18983679272702456,0.0,27,0,0.10172182862615996,1.0,11.582171637707043,0.7533355155482816,0.0,0.0
27-2021,Athletes and Sports Competitors,0.0,0.0,0.0,328830.0,14930.0,2.37,3.645,4.133333333333334,3.0109999999999997,0.002880282372409949,0.0,27,0,0.009831727205208573,0.0,12.70329617887788,0.0,1.0,0.0
27-2022,Coaches and Scouts,0.0,0.5333333333333333,0.2444444444444444,58700.0,238980.0,3.64,3.0825000000000005,3.9766666666666666,5.766876687668766,0.028148214094006974,0.0,27,0,0.15737348744144303,0.0,10.980195005816189,0.5333333333333333,0.0,0.0
27-2023,"Umpires, Referees, and Other Sports Officials",0.0,0.375,0.2083333333333333,44860.0,14840.0,2.38,3.3874999999999997,3.5833333333333335,2.9999000000000002,0.0,0.0,27,0,0.009772460262913276,0.0,10.7113018080742,0.375,1.0,0.0
27-2031,Dancers,0.0,0.0416666666666666,0.0833333333333333,,11510.0,1.19,2.745,4.1499999999999995,1.9385061493850615,0.004189501632596381,0.0,27,0,0.007579583397987318,0.0,,0.0416666666666666,0.0,0.0
27-2032,Choreographers,0.0801,0.4857142857142857,0.2,59090.0,4190.0,2.38,2.9175,4.170000000000001,3.5238523852385244,0.015579709196217734,0.0,27,0,0.002759205424636565,1.0,10.98681698433972,0.4056142857142857,0.0,0.0
27-2041,Music Directors and Composers,0.0368,0.894736842105263,0.3859649122807017,87840.0,10770.0,3.61,1.9175,4.1433333333333335,7.064906490649065,0.23356471601724965,0.0,27,0,0.007092277428003772,1.0,11.383272256743357,0.8579368421052631,0.0,0.0
27-2042,Musicians and Singers,0.0,0.5714285714285714,0.1632653061224489,,35520.0,1.82,1.6724999999999999,3.5666666666666664,5.38933893389339,0.05079770729523124,0.0,27,0,0.023390686559210214,0.0,,0.5714285714285714,0.0,0.0
27-2091,,,0.631578947368421,0.5789473684210527,,7190.0,,,,,0.0,0.0,27,0,0.004734770167813103,,,,,
27-2099,,,,,,14720.0,,,,,0.0,0.0,27,0,0.009693437673186214,,,,,
27-3011,Broadcast Announcers and Radio Disc Jockeys,0.0634,0.9,0.6000000000000001,86950.0,25070.0,3.76,2.4749999999999996,4.419999999999999,4.3995999999999995,0.02382779053539205,0.0,27,0,0.01650913603714527,1.0,11.37308851978243,0.8366,0.0,0.0
27-3023,"News Analysts, Reporters, and Journalists",0.2098,1.0,0.8333333333333334,101430.0,45020.0,3.81,2.33,4.276666666666667,,0.47288999677932064,0.0,27,0,0.02964664157926925,1.0,11.527124184370042,0.7902,0.0,0.0
27-3031,Public Relations Specialists,0.453,0.9393939393939394,0.9393939393939394,77720.0,275550.0,4.24,1.955,4.34,6.181800000000001,0.5006454450952722,0.0,27,0,0.181455621660765,1.0,11.260867903491377,0.48639393939393943,0.0,0.0
27-3041,Editors,0.246,0.9411764705882352,0.7647058823529411,85110.0,95700.0,4.57,1.5274999999999999,4.3566666666666665,6.3914,1.2819874995745053,0.0,27,0,0.06302051530733156,1.0,11.351699816471006,0.6951764705882352,0.0,0.0
27-3042,Technical Writers,0.4747,0.9333333333333332,0.9333333333333332,86620.0,47970.0,4.61,1.4425,3.903333333333333,5.306469353064694,1.790619182156915,0.0,27,0,0.031589280243392845,1.0,11.369286014768617,0.4586333333333332,0.0,0.0
27-3043,Writers and Authors,0.2462,0.9444444444444444,0.9074074074074074,87590.0,49450.0,3.63,1.695,3.455,5.035100000000001,2.403595639776179,0.0,27,0,0.032563892183359935,1.0,11.380422115157135,0.6982444444444444,0.0,0.0
27-3091,Interpreters and Translators,0.4304,0.88,0.88,63080.0,51560.0,3.26,2.1475,4.033333333333333,6.265200000000001,0.6178205688819535,0.0,27,0,0.0339533727193941,1.0,11.052159041076974,0.4496,0.0,0.0
27-3092,Court Reporters and Simultaneous Captioners,0.3431,1.0,0.9166666666666666,71040.0,12390.0,4.64,1.245,4.63,3.4297570242975706,0.0773748582770151,0.0,27,0,0.008159082389319103,1.0,11.170998377666052,0.6569,0.0,1.0
27-3099,,,,,87140.0,23230.0,,,,,0.0027493604463913056,0.0,27,0,0.015297456327996993,,11.375271299671432,,,
27-4011,Audio and Video Technicians,0.0173,0.75,0.475,59260.0,66700.0,4.54,1.9225,4.163333333333333,4.265226522652265,0.12660150246002283,0.0,27,0,0.04392338945662504,1.0,10.989689821127556,0.7327,0.0,0.0
27-4012,Broadcast Technicians,0.0197,0.7619047619047619,0.3333333333333333,71600.0,26190.0,4.58,2.225,4.0,4.0311,0.054594443149771986,0.0,27,0,0.017246680207931176,1.0,11.178850352948738,0.7422047619047618,0.0,0.0
27-4014,Sound Engineering Technicians,0.0,0.7777777777777777,0.5555555555555556,74100.0,14600.0,4.92,1.9675,3.6633333333333336,4.12,0.011390207563621453,0.0,27,0,0.009614415083459152,0.0,11.213170811284177,0.7777777777777777,0.0,0.0
27-4015,,,0.25,0.1875,73250.0,9520.0,,,,,0.0,0.0,27,0,0.006269125451680215,,11.201633526879315,,,
27-4021,Photographers,0.195,0.7291666666666666,0.4166666666666666,53380.0,53630.0,4.68,2.815,4.3999999999999995,3.7730226977302275,0.10185725844250036,0.0,27,0,0.03531651239218592,1.0,10.885191422958515,0.5341666666666667,0.0,0.0
27-4031,"Camera Operators, Television, Video, and Film",0.1651,0.7878787878787878,0.3333333333333333,71890.0,23940.0,4.29,2.8000000000000003,4.396666666666667,4.3886,0.006546096300931757,0.0,27,0,0.015765006650548776,1.0,11.182892451977917,0.6227787878787878,0.0,0.0
27-4032,Film and Video Editors,0.2234,0.9444444444444444,0.8055555555555555,83470.0,29240.0,4.87,1.8424999999999998,3.9899999999999998,5.1685,0.1277797997941903,0.0,27,0,0.019255171030160657,1.0,11.332242564844782,0.7210444444444444,0.0,0.0
27-4099,,,,,75860.0,11430.0,,,,,0.0,0.0,27,0,0.00752690167150261,,11.23664481524289,,,
29-1011,Chiropractors,0.0,0.7272727272727273,0.5454545454545454,89760.0,41480.0,3.86,1.9674999999999998,4.526666666666666,10.0625,0.018590913494646526,0.0,29,0,0.027315705106521856,0.0,11.404894720756523,0.7272727272727273,0.0,1.0
29-1021,"Dentists, General",0.0309,0.45,0.3,191750.0,121640.0,3.3,1.75,4.743333333333333,9.9878,0.03325416920873386,0.0,29,0,0.08010323937216292,1.0,12.163947719229503,0.41910000000000003,0.0,1.0
29-1022,Oral and Maxillofacial Surgeons,0.0,0.08,0.16,334310.0,4160.0,3.68,2.2075,4.740000000000001,11.642400000000002,0.0,0.0,29,0,0.0027394728361410537,0.0,12.719823985212368,0.08,0.0,1.0
29-1023,Orthodontists,0.0,0.6000000000000001,0.4,243620.0,6400.0,3.61,1.7049999999999998,4.87,10.73132686731327,0.003927657780559094,0.0,29,0,0.00421457359406316,0.0,12.40336491325395,0.6000000000000001,0.0,1.0
29-1024,Prosthodontists,0.0,0.0909090909090909,0.1818181818181818,240750.0,570.0,3.94,1.6124999999999998,4.59,11.3775,0.0066770182269504,0.0,29,0,0.00037536046072125014,0.0,12.391514329660373,0.0909090909090909,0.0,1.0
29-1029,,,,,244470.0,5920.0,,,,,0.0,0.0,29,0,0.0038984805745084223,,12.406847880982376,,,
29-1031,Dietitians and Nutritionists,0.1328,0.951219512195122,0.6585365853658537,71280.0,73860.0,4.17,1.74,4.3933333333333335,7.166716671667167,0.17059126960228532,0.0,29,0,0.04863881338398515,1.0,11.17437106214469,0.818419512195122,0.0,0.0
29-1041,Optometrists,0.0,0.6000000000000001,0.1,143000.0,41390.0,4.24,1.65,4.7299999999999995,10.952399999999997,0.011128363711584167,0.0,29,0,0.027256437665355338,0.0,11.870599909242044,0.6000000000000001,0.0,1.0
29-1051,Pharmacists,0.0896,0.7428571428571429,0.5142857142857142,134790.0,331700.0,4.16,2.2275,4.86,10.286000000000001,0.0709596839021017,0.0,29,0,0.2184334470548047,1.0,11.811473290732316,0.6532571428571429,0.0,1.0
29-1071,Physician Assistants,0.0,0.5416666666666666,0.2202380952380952,130490.0,145740.0,3.585,2.2837500000000004,4.53,7.096154807740386,0.021209352015019188,0.0,29,0,0.09597374306230701,0.0,11.779051874456293,0.5416666666666666,0.0,1.0
29-1081,Podiatrists,0.0,0.5714285714285714,0.3809523809523809,162520.0,9470.0,4.45,2.05,4.5633333333333335,11.123299999999999,0.0,0.0,29,0,0.006236251864965331,0.0,11.998556350101664,0.5714285714285714,0.0,1.0
29-1122,Occupational Therapists,0.008,0.4674242424242424,0.5208333333333334,96790.0,144840.0,3.62,2.8275,4.336666666666667,7.602750000000001,0.045560830254485915,0.0,29,0,0.09538106865064189,1.0,11.480298962143134,0.4594242424242424,0.0,0.0
29-1123,Physical Therapists,0.0174,0.2978723404255319,0.5531914893617021,100440.0,240820.0,3.86,2.26,4.783333333333334,9.0599,0.045298986402448525,0.0,29,0,0.15858650201910784,1.0,11.517315813271521,0.28047234042553193,0.0,1.0
29-1124,Radiation Therapists,0.0,0.5121951219512195,0.3170731707317073,104420.0,16640.0,4.38,2.4925,4.3566666666666665,5.1635,0.00837900326519266,0.0,29,0,0.010957891344564215,0.0,11.556176506964544,0.5121951219512195,0.0,0.0
29-1125,Recreational Therapists,0.0,0.5454545454545454,0.6363636363636364,60910.0,15540.0,3.64,2.8125,4.573333333333333,6.1081,0.017805381938534665,0.0,29,0,0.01023351150808461,0.0,11.01715264383053,0.5454545454545454,0.0,1.0
29-1126,Respiratory Therapists,0.0,0.3095238095238095,0.2857142857142857,80340.0,129750.0,3.79,2.5650000000000004,4.666666666666667,5.0221,0.09963158570018353,0.0,29,0,0.08544389434838984,0.0,11.294022907913273,0.3095238095238095,0.0,1.0
29-1127,Speech-Language Pathologists,0.0,0.7317073170731707,0.6829268292682927,92630.0,172100.0,4.31,2.01,4.596666666666667,8.1148,0.024613322091503808,0.0,29,0,0.11333251805285466,0.0,11.436368342248073,0.7317073170731707,0.0,1.0
29-1128,Exercise Physiologists,0.0,0.48,0.4,57050.0,8060.0,4.0,2.5225,4.6066666666666665,7.0909,0.10107172688638841,0.0,29,0,0.005307728620023292,0.0,10.951683355290221,0.48,0.0,1.0
29-1129,"Therapists, All Other",0.0402,0.6432624113475177,0.6932624113475178,75660.0,16490.0,3.27,1.9312500000000001,4.28,7.305115255762788,0.179624882497571,0.0,29,0,0.01085911227595336,1.0,11.23400489818702,0.6030624113475177,0.0,0.0
